107027,fjellan's jojjo,f,388455,139722,normal,2.47
106987,gjervfjellet sondre,m,,,normal,2.01
107006,ch maffialigan's kryddnejlika,f,380035,391653,normal,13.1
107005,knüppelbrinks bob,m,,,normal,11.8
107141,kiwimagic angelic one,f,,,normal,46.1
107262,sundholmens beata,f,,,normal,5.85
107390,ch vicking of moonlight cats,m,,,normal,20.7
107171,lykken's blue bear,m,157351,312104,normal,3.91
107159,nattsmygarn kapitän,m,,,normal,14.1
107410,daylight blue's jasmin,f,,,normal,18.1
107518,ch dhiammara's iditarod,f,,,normal,1.28
107512,gic floresta leaò's sigurd,m,143916,335851,normal,1.21
107433,ic blackfeet california,f,,,normal,13.7
107493,nakimos blue chanel,f,315422,144737,normal,2.04
107587,sebastian av sandrabben,m,,,normal,0.794
107552,rw tgc beckycats first lady,f,,,normal,12.5
107562,derja's bella,f,,,normal,37.6
107585,riverstone a-kind-of-magic,f,377751,259374,hcm,11.3
107565,sjumilaskogens tingeling,f,101959,370983,normal,33.1
107721,ch rússicus shira,f,366924,128559,normal,0
107653,ch furuhöjds angel eye,f,,,normal,8.85
107685,ec jw exquisite belladonna took. dsm,f,307942,258925,normal,19.5
107655,maestro debonair,m,,,normal,11.1
107711,fife ch & pr lejets distagon,m,129250,201647,normal,12.4
107871,pr & ec amante's boogie woogie,m,,,normal,4.64
107759,ch georgina of kin wa lu,f,,,normal,35.3
107775,sarafina naomi,f,,,normal,14.7
107729,summerplace padischa,f,,,normal,15.1
107749,kattekronan's cato,m,,,normal,33.1
107987,prairiebaby come to the water,m,305754,193419,normal,0
107886,ch aroma's tosca,f,346132,247299,normal,4.56
107881,zittra,f,107749,362359,normal,35
107959,kimmerslev calamity peggi jane,f,405035,119431,normal,11.6
107928,fife ic piupaws minime,f,239083,217182,hcm,13.9
108035,frostnattens kevlar,m,,,normal,2.92
108015,ch angelbald patience,f,387946,145045,normal,3.67
108024,ic magic merlin of feline spirit,m,,,normal,9.7
108050,catnoox sumai pai,f,247124,149700,normal,12.4
107991,brooklyn of majestic maine angels,f,,,normal,14.2
108060,zaribs zara,f,253332,281965,normal,1.46
108190,saskakhan lady brighid,f,,,normal,12.8
108171,ch eliah of special edition,m,,,normal,11.8
108189,ch lara von der laurentziburg,f,,,normal,12.1
108054,axiom's hot stuff,f,386068,322733,normal,21.5
108277,family's vivaldi,m,135144,307891,normal,5.64
108389,ch charming coon walk of life,m,123801,198443,normal,10.7
108245,ruffle's satisfaction,m,246221,384035,normal,19.9
108324,eloise of limaho's castle,f,,,normal,12.1
108353,fife ic blå katten nemu made for tistlas,f,379327,158982,normal,14.9
108470,le beau minu fire opal,f,,,normal,13.1
108579,coonfusion paddington bear,m,159292,151518,normal,17.8
108610,olmocabe's clavius,m,,,normal,13.8
108556,birkalunden's desibelle,f,287121,192391,normal,16
108489,thusnelda zur waldemaine of bright eyes,f,297204,108189,normal,12.1
108713,ec don quijote felis jubatus,m,173640,400662,normal,11.5
108688,ic bojohswalie farouche,f,,,normal,9.16
108700,ohmydolls miss lucy of ragglerock,f,,,normal,30.4
108642,eien coon dobby of katha-coon,m,,,normal,22.1
108684,moondance big tiger nevada,f,,,normal,8.09
108763,ch ingrid z alilandu,f,358974,147914,normal,0
108859,pr & ic zaroya's dariia,f,173730,218781,normal,0.958
108830,ch king pellinor á camelot treasure,m,,,normal,41.6
108826,sigillion's sam gambi,m,,,normal,19.6
108727,dalefur's cilver,m,349304,341008,normal,13.6
108871,ec axel oxenstierna felis jubatus,m,,,normal,18.8
108914,kvilles hr. nielsen,m,198780,375082,normal,4.02
108883,ic shanooks dengar of auchentoshan,m,257017,122362,normal,14.9
108923,merridancers faith,f,,,normal,18.2
108905,fife ch & pr nutmeg make people talk,f,,,normal,11.6
109169,knjaze dormidont stoli,m,,,normal,0
109040,laverton blue berry blues,m,189929,326064,normal,13.6
109006,tallkatten ganya,m,,,normal,0.977
108927,ch darklin reach miss zarpandit,f,,,normal,25.4
109130,ch runnercats adhamh,m,319657,183279,normal,16.6
109179,lumikissan eloveena,f,,,normal,3.76
109397,feline ilex mister bix,m,,,normal,6.83
109214,ec oxiekullars bianca,f,,,normal,1.31
109361,ic gimlet athena,f,,,normal,14
109416,ylletrollets flipper,m,209490,142039,normal,4.29
109426,rosie gyldenløve,f,,,normal,1.82
109483,kumskaka first love,m,,,normal,0
109535,u bywane de pace-anza,m,,,normal,13.7
109438,ch darmagne's undine,f,,,normal,34.2
109423,ic amazing dream's galileo,m,,,normal,24.3
109717,ich latasha du palais d'hiver,f,,,normal,2.06
109677,pocahonta's soldier blue,m,,,normal,2.47
109621,ninjastammens ellington,m,,,normal,1.23
109606,ch cloon's esmeralda,f,,,normal,17.2
109755,aquacoon shait,f,232214,241675,normal,15.2
109782,ic wonderwoods anubis,m,,,normal,5.2
109840,zorbas isis,f,,,normal,3.02
109819,dalkullans orkan,m,,,normal,5.04
109825,2000cats secret illusion,m,386165,171289,normal,21.3
109803,tofsörat's shadow of sekhmet,f,,,normal,13.4
109989,prairiebaby come to the river of eole coon,m,305754,314607,normal,6.25
110056,ch daria z powis´la,f,,,normal,0.781
110057,gailray marcanthony of hairless harem,m,,,normal,0.183
110073,ullstrumpans qumquat,f,,,normal,35.5
109952,sp & ec ma'ha gita unique,f,301667,333042,normal,37
110224,ic hulelyckans cinderella,f,312936,310059,normal,14.1
110132,djura van moraja,f,168130,308927,normal,2.77
110084,ch prairiebaby springfield eternal of eole coon,m,,,normal,4.97
110156,escape's unique one,f,,,normal,12.7
110116,sassiecat's paolo,m,,,normal,35
110341,ec zekape's shmi skywalker,f,324505,145506,normal,8.76
110353,meregas royal blue safir,m,,,normal,43.5
110352,gic super-star innuendo of wildwillows,m,,,normal,7.56
110251,high fidelity of noah's ark,f,373217,342261,normal,18.3
110342,far east eminem,m,373787,238005,normal,33.3
110355,rússicus freda,f,103003,199005,normal,8.28
110394,sp ec barkli's tingeling,f,,,normal,2.88
110404,kumskaka cloud watcher of mtnmaine,f,,,normal,0.865
110439,pampushka desert storm of coonity,m,,,normal,13.3
110412,maruschka shiraz,f,,,normal,8.29
110516,gic scooter uut uune,m,,,normal,12.8
110509,kvilles skrubbe,f,,,normal,1.97
110501,starkad's daytona,m,,,normal,4.05
110472,fife ic fairyland's captain cook,m,,,normal,16
110443,alsciaukat u'tramontana of abesh,f,345953,149030,normal,5.16
110698,meldgaards ivo itamkash,m,374846,408786,normal,1.07
110543,crazy castle calico of onondaga,f,,,normal,15.3
110663,iw-sgc lunarcoons total eclipse,m,,,normal,13
110545,langstteich's e'caramba,m,,,normal,13.3
110644,ch snömolnets figaro,m,,,normal,35.6
110847,ic klintgården's chagall,m,175711,168554,normal,0.213
110820,ch gigolo of villa flora,m,358765,140386,normal,41.5
110783,giggle's nick l. andime di.p,m,343894,278601,normal,12.3
110707,plica's sella,f,,,normal,2.84
110785,ch ophelia gyldenløve,f,306876,102684,normal,3.99
110910,regalis du pech del cat,f,,,normal,0
111041,ec hjerteknuser's ovidia,f,,,normal,3.12
111011,lossy's pirulito,m,,,normal,0
110973,gypsy queen von bushy cat,f,406165,192123,normal,2.84
110986,ic mac conner sammy,m,,,normal,13.3
111200,sannafjället's fabel,m,,,normal,6.84
111138,ic knallhattens electra,f,187233,221945,normal,5.2
111141,ec udklittens karate kid of kiri,m,,,normal,13
111101,sjungande dalen alzita,f,109006,101101,normal,0.344
111046,summerplace filou,m,286169,500268,normal,15.3
