ID,Name,Sex,Sire,Dam,HCM
1266944,Siana,F,1266945,1266946,Normal
1266973,CH Lukanpuron Don Juan,M,1111462,1111442,Normal
1266974,Smiley Destiny Hope von Anhalt,F,1216554,1089376,Normal
1267007,Philyra van Ashamta,F,863319,863318,Normal
1267008,Cerridwen van Ashamta,F,863320,1100674,Normal
1267006,Lenys des Kallistos,M,1254168,1267014,Normal
1267029,LeatherAndLace Hello Dolly,F,872180,1078411,Normal
1267095,Daddy Longtail Indigo,M,1216857,1089306,Normal
1267116,Milashka's Panochka,F,1211271,1095119,Normal
1267131,IC Coonwood's U'Dalida,F,1267126,1267128,Normal
1267141,Allegiancelove X-Star PP,F,1242254,1267140,Normal
1267145,Allegiancelove Zeus,M,1242254,1180645,Normal
1267203,Trick von Fat Velvet Bags,M,1153720,942941,Normal
1267311,Heart Stealer Ginevra Queen,F,1217783,1187840,Normal
1267369,IzzyIsland's Emmaline,F,1241088,1213708,Normal
1267397,Caesar's Athena,F,1267398,1266363,Normal
1267428,SuzNoOne's Fridfulla Ferdinan,M,1256946,1156755,Normal
1267427,SuzNoOne's Fagra Freja,F,1256946,1156755,Normal
1267425,SuzNoOne's Fina Förgätmigej,F,1256946,1156755,Normal
1267481,Mette Edle von Rada,F,802052,1264689,Normal
1267604,Justcoons May B Lynn,F,1213320,1141825,Normal
1267621,Bloomingtree Amitala,F,848951,794396,Normal
1267645,Zambia Ruby Dolls,F,1098851,1098852,Normal
1267649,Krickelins Fibi,F,1215622,1257800,Normal
1267663,Nintalija's Ala Atlantis,F,1248000,945569,Normal
1267672,ArcticWilds Babyface Beagle,F,643939,956125,Normal
1267673,Älvnäs Bellisimus Spinning Tornado,M,1151033,767139,Normal
1267674,Älvnäs Isaloo Titti Ergonomia,F,964342,992529,Normal
1267688,Starsky's Vladimir,M,1156520,1145081,Normal
1267686,Kissin Tassun Geisha,F,1267687,1062670,Normal
1267696,Xenia von Dudinka,F,1270051,1267697,Normal
1267698,Smilla von Dudinka,F,814391,331813,Normal
1267727,Carna's Witra,F,1267728,1151034,Normal
1267728,Omesh von Arzan-Kurgane,M,951161,894506,Normal
1267768,Timbercats Valley Naughty Ziva,F,990345,1230623,Normal
1267831,Liljelundens Boom Boom Pow,F,1267832,985737,Normal
1267847,Deidara vom Hülser Wäldchen,F,1267846,1243838,Normal
1267852,Vidia from Julecase Castle,F,1133061,1267850,Normal
1267851,Periwinkle from Julecase Castle,F,1133061,1267850,Normal
1267924,Justcoons Res Q,F,1213082,1267925,Normal
1267927,Kalach de la Contree des Geants,M,1249116,1249117,HCM Mild
1267928,Kimia des Roches,F,1187257,1096569,Normal
1267983,Duch Nocy C-Jaffa,F,1267984,1267985,Normal
1267982,Big Giants Resort's Radison,M,1236329,1236330,Normal
1267981,Jude des Divas Sacrées,F,1137878,1136316,Normal
1267998,IC Ullrtass's Muddy Waters Royal,M,990425,1210558,Normal
1268021,Elara's Nymeria,F,1157656,983502,Normal
1268110,Franklin vom Schillberg,M,1268108,1268109,Normal
1268281,Langstteich's Josy Fine,F,811282,1268284,Normal
1268291,Justcoons Ma R Quess,M,1213320,1141825,Normal
1268407,Amazeing Grace,F,1268408,1156510,Normal
1268413,Impero Siberiano Morfeus,M,1168978,1165171,Normal
1268411,CH CarilloCat Ramona,F,1169446,1155075,Normal
1268410,Vidkärrsaliéns Sapfo,F,965101,987424,Normal
1268412,Gnistras Pluto,M,1268413,1268414,HCM Moderate
1268414,Älvnäs Balonessa Malva,F,964342,1138854,Equivocal
1268415,Jatsitytön Blaziken,M,643939,1069583,Normal
1268428,Ganymed v.d. Lusshardt,M,1220462,832273,Normal
1268441,CH KireiNeko's Winnie Pooh,M,1268442,1268443,Normal
1268454,GIC Bibendums Spring Edition III,F,793435,855210,Normal
1268506,Berka's Mr. O'Malley,M,756752,943487,Normal
1268507,Lord Lyndon van Song de Chine,M,1133828,1154548,HCM Mild
1268508,QuarkenCat Ice,F,1142633,988951,Normal
1268504,Faddey Chingi-Tura,M,1268505,1168146,Normal
1268509,SuzNoOne's Amazing Aurora,F,964342,1099281,Normal
1268532,Alcarinqua Demeter,F,1192764,1147681,Normal
1268573,Fien Valentina Sibanna,F,1229220,1167101,Normal
1268596,Jack van Sawillu,M,1268597,932272,Normal
1268611,Suus van M&M,F,901479,1185509,Other Diagnosis
1268615,Catus Mountain's Pearl Elsa,F,1198041,840498,Normal
1268616,Catus Mountain's Diamond Alice,F,1142185,1073972,Normal
1268618,Awaria First Snow,F,1061411,1236127,Normal
1268648,NaturalBornStar Aurora,F,1172796,1213442,Normal
1268650,BiGe's Tulaliloo ti amo!,F,1230436,1077741,Normal
1268674,Simpsalacoon's Amoroso,F,1175731,1086655,Normal
1268682,Philo Zene Hebe,M,1268683,1105808,Normal
1268688,CH Lucky Rocker's Sambuca,F,189398,1165763,Normal
1268687,Lucky Rocker's Tequila rose,F,189398,1165763,Normal
1268693,Tole'Coons Lucius Best,M,1219782,1168356,Normal
1268697,Shantaram's Verveine,F,1188673,1071322,Normal
1268695,Shantaram's Damiana,F,1188673,1071322,Normal
1268698,Shantaram's Yerba Santa,F,1188673,1071322,Normal
1268712,Moneris Black Mascara,F,889588,1268713,Normal
1268718,Tinywinys Hypotenusa Hyperhyss,F,1100336,1140678,Normal
1268715,CH Zazalinas Heart of Hope,F,986650,985747,Normal
1268717,Tinywinys Jamixa Jabadabado,F,1153911,1268718,Normal
1268716,Tinywinys Kardemummagumma,F,1153911,787289,Normal
1268722,Wilda Gladans Truls,M,985702,1268723,Normal
1268720,Tehya's Newton,M,973144,972321,Normal
