ID,Sex,Has_HCM,Sire_ID,Sire_has_HCM,Dam_ID,Dam_has_HCM
112017,f,false,247411,false,332740,false
112051,m,false,177258,false,377884,false
112052,m,false,,false,,false
112108,m,false,,false,,false
112116,f,false,,false,,false
112134,m,false,172046,false,102482,false
112182,m,false,,false,,false
112195,f,false,218908,false,148330,false
112196,f,true,362372,false,194414,false
112199,m,false,,false,,false
112205,f,false,349622,false,322074,false
112212,f,false,,false,,false
112375,f,false,288041,false,158137,false
112428,f,false,,false,,false
112539,f,false,,false,,false
112569,f,false,,false,,false
112604,f,false,,false,,false
112629,f,false,,false,,false
112634,f,false,,false,,false
112661,f,false,,false,,false
112693,m,false,137000,false,380163,false
112705,f,false,,false,,false
112753,m,false,143616,false,367529,false
112818,f,false,246462,false,242423,false
112828,f,true,369817,false,183762,false
112879,m,false,227348,false,152314,false
112915,m,false,,false,,false
112949,m,false,,false,,false
112952,f,false,234102,false,317435,false
112966,f,false,113198,false,157970,false
112989,f,false,,false,,false
113016,f,false,,false,,false
113031,m,false,,false,,false
113038,m,false,,false,,false
113078,f,false,,false,,false
113107,f,false,191200,false,158250,false
113123,m,false,,false,,false
113198,m,false,,false,,false
113250,f,false,373444,false,150855,false
113305,f,false,188404,false,335452,false
113343,m,false,,false,,false
113363,m,false,356562,false,236798,false
113380,f,false,190842,false,180492,false
113383,m,false,,false,,false
113413,m,false,270718,false,203385,false
113441,m,false,,false,,false
113443,m,false,268414,false,114431,false
113455,f,false,293460,false,171491,false
113482,f,false,,false,,false
113491,m,false,,false,,false
113512,m,false,,false,,false
113515,f,false,,false,,false
113705,m,false,,false,,false
113716,m,false,,false,,false
113768,f,false,332517,false,186277,false
113773,f,false,,false,,false
113798,m,false,259818,false,198739,false
113806,f,false,,false,,false
113846,f,false,411762,false,178272,false
113863,m,false,128151,false,383593,false
113864,f,false,,false,,false
113886,m,false,,false,,false
113887,f,false,,false,,false
113889,m,false,,false,,false
113956,f,false,376436,false,189732,false
113962,f,false,,false,,false
113986,m,false,,false,,false
114000,m,true,147965,false,314607,false
114017,m,false,257070,true,321215,false
114062,f,false,122551,false,201200,false
114123,f,false,322583,false,237922,false
114164,m,false,,false,,false
114269,m,false,,false,,false
114296,m,false,,false,,false
114348,f,false,352535,false,280174,false
114360,m,true,113716,false,140630,false
114382,f,false,158239,false,382856,false
114388,f,false,,false,,false
114391,m,false,,false,,false
114397,m,false,,false,,false
114431,f,false,328009,false,184960,false
114499,m,true,227064,false,291796,false
114536,m,false,,false,,false
114558,m,false,,false,,false
114630,f,false,109397,false,363068,false
114664,f,false,324505,false,145506,false
114708,f,false,,false,,false
114719,f,false,,false,,false
114757,m,false,,false,,false
114781,f,false,358787,false,390695,false
114788,f,false,,false,,false
114830,m,false,,false,,false
114859,m,false,,false,,false
114987,m,false,,false,,false
115017,f,false,,false,,false
115065,f,false,,false,,false
115138,f,false,,false,,false
115165,f,false,410342,false,132999,false
