ID,Sex,Has_HCM,Sire_ID,Sire_has_HCM,Dam_ID,Dam_has_HCM,Probability
109803,f,False,,False,,False,0.0
109819,m,False,,False,,False,0.0
109825,m,False,386165.0,False,171289.0,False,0.0
109840,f,False,,False,,False,0.0
109952,f,False,301667.0,False,333042.0,False,0.0
109989,m,False,305754.0,False,314607.0,False,0.0
110056,f,False,,False,,False,0.0
110057,m,False,,False,,False,0.0
110073,f,False,,False,,False,0.0
110084,m,False,,False,,False,0.0
110116,m,False,,False,,False,0.0
110132,f,False,168130.0,False,308927.0,False,0.0
110156,f,False,,False,,False,0.0
110224,f,False,312936.0,False,310059.0,False,0.0
110251,f,False,373217.0,False,342261.0,False,0.0
110341,f,False,324505.0,False,145506.0,False,0.0
110342,m,False,373787.0,False,238005.0,False,0.0
110352,m,False,,False,,False,0.0
110353,m,False,,False,,False,0.0
110355,f,False,103003.0,False,199005.0,False,0.0
110394,f,False,,False,,False,0.0
110404,f,False,,False,,False,0.0
110412,f,False,,False,,False,0.0
110439,m,False,,False,,False,0.0
110443,f,False,345953.0,False,149030.0,False,0.0
110472,m,False,,False,,False,0.0
110501,m,False,,False,,False,0.0
110509,f,False,,False,,False,0.0
110516,m,False,,False,,False,0.0
110543,f,False,,False,,False,0.0
110545,m,False,,False,,False,0.0
110644,m,False,,False,,False,0.0
110663,m,False,,False,,False,0.0
110698,m,False,374846.0,False,408786.0,False,0.0
110707,f,False,,False,,False,0.0
110783,m,False,343894.0,False,278601.0,False,0.0
110785,f,False,306876.0,False,102684.0,False,0.0
110820,m,False,358765.0,False,140386.0,False,0.0
110847,m,False,175711.0,False,168554.0,False,0.0
110910,f,False,,False,,False,0.0
110973,f,False,406165.0,False,192123.0,False,0.0
110986,m,False,,False,,False,0.0
111011,m,False,,False,,False,0.0
111041,f,False,,False,,False,0.0
111046,m,False,286169.0,False,500268.0,False,0.0
111101,f,False,109006.0,False,101101.0,False,0.0
111138,f,False,187233.0,False,221945.0,False,0.0
111141,m,False,,False,,False,0.0
111200,m,False,,False,,False,0.0
111221,f,False,245588.0,False,180178.0,False,0.0
111239,m,False,,False,,False,0.0
111255,f,False,,False,,False,0.0
111318,m,True,146352.0,False,338838.0,False,0.0
111336,f,False,,False,,False,0.0
111368,f,False,,False,,False,0.0
111420,m,False,387667.0,False,212511.0,False,0.0
111444,f,False,,False,,False,0.0
111452,m,False,,False,,False,0.0
111454,m,False,,False,,False,0.0
111480,m,False,,False,,False,0.0
111536,m,False,,False,,False,0.0
111557,m,False,,False,,False,0.0
111573,f,False,350324.0,False,303134.0,False,0.0
111602,f,True,244205.0,True,166312.0,True,0.0
111621,m,False,200600.0,False,254140.0,False,0.0
111626,f,False,,False,,False,0.0
111654,f,False,144509.0,False,151055.0,False,0.0
111706,f,False,178706.0,False,246619.0,False,0.0
111807,m,False,257566.0,False,386264.0,False,0.0
111825,m,False,160961.0,False,411860.0,False,0.0
111902,f,False,,False,,False,0.0
111916,f,False,,False,,False,0.0
111937,f,False,,False,,False,0.0
112001,f,False,104338.0,False,100885.0,False,0.0
112017,f,False,247411.0,False,332740.0,False,0.0
112051,m,False,177258.0,False,377884.0,False,0.0
112052,m,False,,False,,False,0.0
112108,m,False,,False,,False,0.0
112116,f,False,,False,,False,0.0
112134,m,False,172046.0,False,102482.0,False,0.0
112182,m,False,,False,,False,0.0
112195,f,False,218908.0,False,148330.0,False,0.0
112196,f,True,362372.0,False,194414.0,False,0.0
112199,m,False,,False,,False,0.0
112205,f,False,349622.0,False,322074.0,False,0.0
112212,f,False,,False,,False,0.0
112375,f,False,288041.0,False,158137.0,False,0.0
112428,f,False,,False,,False,0.0
112539,f,False,,False,,False,0.0
112569,f,False,,False,,False,0.0
112604,f,False,,False,,False,0.0
112629,f,False,,False,,False,0.0
112634,f,False,,False,,False,0.0
112661,f,False,,False,,False,0.0
112693,m,False,137000.0,False,380163.0,False,0.0
112705,f,False,,False,,False,0.0
112753,m,False,143616.0,False,367529.0,False,0.0
112818,f,False,246462.0,False,242423.0,False,0.0
112828,f,True,369817.0,False,183762.0,False,0.0
112879,m,False,227348.0,False,152314.0,False,0.0
112915,m,False,,False,,False,0.0
112949,m,False,,False,,False,0.0
112952,f,False,234102.0,False,317435.0,False,0.0
112966,f,False,113198.0,False,157970.0,False,0.0
112989,f,False,,False,,False,0.0
113016,f,False,,False,,False,0.0
113031,m,False,,False,,False,0.0
113038,m,False,,False,,False,0.0
113078,f,False,,False,,False,0.0
113107,f,False,191200.0,False,158250.0,False,0.0
113123,m,False,,False,,False,0.0
113198,m,False,,False,,False,0.0
113250,f,False,373444.0,False,150855.0,False,0.0
113305,f,False,188404.0,False,335452.0,False,0.0
113343,m,False,,False,,False,0.0
113363,m,False,356562.0,False,236798.0,False,0.0
113380,f,False,190842.0,False,180492.0,False,0.0
113383,m,False,,False,,False,0.0
113413,m,False,270718.0,False,203385.0,False,0.0
113441,m,False,,False,,False,0.0
113443,m,False,268414.0,False,114431.0,False,0.0
113455,f,False,293460.0,False,171491.0,False,0.0
113482,f,False,,False,,False,0.0
113491,m,False,,False,,False,0.0
113512,m,False,,False,,False,0.0
113515,f,False,,False,,False,0.0
113705,m,False,,False,,False,0.0
113716,m,False,,False,,False,0.0
113768,f,False,332517.0,False,186277.0,False,0.0
113773,f,False,,False,,False,0.0
113798,m,False,259818.0,False,198739.0,False,0.0
113806,f,False,,False,,False,0.0
113846,f,False,411762.0,False,178272.0,False,0.0
113863,m,False,128151.0,False,383593.0,False,0.0
113864,f,False,,False,,False,0.0
113886,m,False,,False,,False,0.0
113887,f,False,,False,,False,0.0
113889,m,False,,False,,False,0.0
113956,f,False,376436.0,False,189732.0,False,0.0
113962,f,False,,False,,False,0.0
113986,m,False,,False,,False,0.0
114000,m,True,147965.0,False,314607.0,False,0.0
114017,m,False,257070.0,True,321215.0,False,0.0
114062,f,False,122551.0,False,201200.0,False,0.0
114123,f,False,322583.0,False,237922.0,False,0.0
114164,m,False,,False,,False,0.0
114269,m,False,,False,,False,0.0
114296,m,False,,False,,False,0.0
114348,f,False,352535.0,False,280174.0,False,0.0
114360,m,True,113716.0,False,140630.0,False,0.0
114382,f,False,158239.0,False,382856.0,False,0.0
114388,f,False,,False,,False,0.0
114391,m,False,,False,,False,0.0
114397,m,False,,False,,False,0.0
114431,f,False,328009.0,False,184960.0,False,0.0
114499,m,True,227064.0,False,291796.0,False,0.0
114536,m,False,,False,,False,0.0
114558,m,False,,False,,False,0.0
114630,f,False,109397.0,False,363068.0,False,0.0
114664,f,False,324505.0,False,145506.0,False,0.0
114708,f,False,,False,,False,0.0
114719,f,False,,False,,False,0.0
114757,m,False,,False,,False,0.0
114781,f,False,358787.0,False,390695.0,False,0.0
114788,f,False,,False,,False,0.0
114830,m,False,,False,,False,0.0
114859,m,False,,False,,False,0.0
114987,m,False,,False,,False,0.0
115017,f,False,,False,,False,0.0
115065,f,False,,False,,False,0.0
115138,f,False,,False,,False,0.0
115165,f,False,410342.0,False,132999.0,False,0.0
115189,f,False,,False,,False,0.0
115194,f,False,,False,,False,0.0
115223,m,False,,False,,False,0.0
115270,f,False,,False,,False,0.0
115289,f,False,,False,,False,0.0
115292,m,False,,False,,False,0.0
115301,f,False,283447.0,False,400395.0,False,0.0
115318,m,False,124522.0,False,283668.0,False,0.0
115348,f,False,,False,,False,0.0
115349,f,False,,False,,False,0.0
115376,m,False,,False,,False,0.0
